20 ,3943
30 ,3838
40 ,3687
50 ,3486
60 ,3142
70 ,2887
80 ,2425
90 ,2126
100,1796
110,1500
120,1199
130,958
140,789
150,621
160,505
170,410
180,337
190,280
200,230
210,183
220,151
230,129
240,104
250,91
